callsite_key,label_num,flta_num,seman_num,seman_prec,seman_recall,seman_f1,flta_prec,flta_recall,flta_f1
lib/dns/rdataset.c:90:3,2,221,6,33.3,100.0,50.0,0.9,100.0,1.8
lib/dns/master.c:373:5,1,59,2,50.0,100.0,66.7,1.7,100.0,3.3
lib/dns/master.c:347:4,1,59,3,33.3,100.0,50.0,1.7,100.0,3.3
lib/dns/master.c:1667:4,1,59,3,33.3,100.0,50.0,1.7,100.0,3.3
lib/dns/master.c:1580:5,1,59,1,100.0,100.0,100.0,1.7,100.0,3.3
lib/dns/master.c:1363:5,1,59,2,50.0,100.0,66.7,1.7,100.0,3.3
lib/dns/rdata.c:2181:3,2,59,6,33.3,100.0,50.0,3.4,100.0,6.6
lib/dns/rdata.c:2169:4,2,59,6,33.3,100.0,50.0,3.4,100.0,6.6
lib/dns/rdata.c:2157:4,2,59,6,33.3,100.0,50.0,3.4,100.0,6.6
lib/dns/rdata.c:2152:4,2,59,6,33.3,100.0,50.0,3.4,100.0,6.6
lib/dns/rdata.c:2175:4,2,59,6,33.3,100.0,50.0,3.4,100.0,6.6
lib/dns/master.c:919:3,1,59,2,50.0,100.0,66.7,1.7,100.0,3.3
lib/dns/qp_p.h:922:15,2,8,8,25.0,100.0,40.0,25.0,100.0,40.0
lib/dns/qp_p.h:910:2,2,28,5,20.0,50.0,28.6,7.1,100.0,13.3
src/cairo.c:458:12,2,224,4,50.0,100.0,66.7,0.9,100.0,1.8
src/cairo.c:629:14,1,208,1,100.0,100.0,100.0,0.5,100.0,1.0
src/cairo.c:893:14,1,5,2,50.0,100.0,66.7,20.0,100.0,33.3
src/cairo.c:1172:14,1,14,2,50.0,100.0,66.7,7.1,100.0,13.3
src/cairo.c:1242:14,1,3,2,50.0,100.0,66.7,33.3,100.0,50.0
src/cairo.c:1272:14,1,3,2,50.0,100.0,66.7,33.3,100.0,50.0
src/cairo.c:1413:14,1,14,2,50.0,100.0,66.7,7.1,100.0,13.3
src/cairo.c:652:14,1,208,1,100.0,100.0,100.0,0.5,100.0,1.0
src/cairo.c:528:5,1,208,32,3.1,100.0,6.1,0.5,100.0,1.0
src/cairo-surface.c:1042:11,5,224,41,12.2,100.0,21.7,2.2,100.0,4.4
src/cairo-surface.c:2576:12,2,73,20,10.0,100.0,18.2,2.7,100.0,5.3
src/cairo-paginated-surface.c:792:12,1,303,6,16.7,100.0,28.6,0.3,100.0,0.7
src/cairo.c:2965:14,1,46,1,100.0,100.0,100.0,2.2,100.0,4.3
src/cairo-surface.c:3054:14,4,5,4,100.0,100.0,100.0,80.0,100.0,88.9
src/cairo.c:2992:14,1,145,1,100.0,100.0,100.0,0.7,100.0,1.4
src/cairo-paginated-surface.c:562:26,1,224,5,20.0,100.0,33.3,0.4,100.0,0.9
src/cairo-paginated-surface.c:415:14,1,177,5,20.0,100.0,33.3,0.6,100.0,1.1
src/cairo-recording-surface.c:2115:15,2,3,2,100.0,100.0,100.0,66.7,100.0,80.0
src/cairo-analysis-surface.c:897:6,1,3,2,50.0,100.0,66.7,33.3,100.0,50.0
src/cairo-analysis-surface.c:867:6,1,5,4,25.0,100.0,40.0,20.0,100.0,33.3
src/cairo-paginated-surface.c:451:11,1,4,1,100.0,100.0,100.0,25.0,100.0,40.0
src/cairo-paginated-surface.c:478:14,1,177,5,20.0,100.0,33.3,0.6,100.0,1.1
src/cairo-surface.c:2534:40,1,224,9,11.1,100.0,20.0,0.4,100.0,0.9
src/cairo-surface.c:2053:14,1,17,16,6.2,100.0,11.8,5.9,100.0,11.1
src/cairo-surface.c:2094:2,1,17,15,6.7,100.0,12.5,5.9,100.0,11.1
src/cairo.c:3365:12,1,208,2,50.0,100.0,66.7,0.5,100.0,1.0
src/cairo-toy-font-face.c:168:11,1,6,5,20.0,100.0,33.3,16.7,100.0,28.6
src/cairo-surface.c:1622:6,1,47,13,7.7,100.0,14.3,2.1,100.0,4.2
src/cairo.c:1021:14,1,37,2,50.0,100.0,66.7,2.7,100.0,5.3
src/cairo.c:2230:14,1,208,2,50.0,100.0,66.7,0.5,100.0,1.0
src/ddsrt/src/log.c:276:7,1,9,1,100.0,100.0,100.0,11.1,100.0,20.0
src/core/ddsi/src/ddsi_config.c:1626:11,40,31,31,96.8,75.0,84.5,96.8,75.0,84.5
src/core/ddsi/src/ddsi_config.c:1737:7,2,11,2,100.0,100.0,100.0,18.2,100.0,30.8
src/core/ddsi/src/ddsi_config.c:1770:7,1,11,2,50.0,100.0,66.7,9.1,100.0,16.7
src/core/ddsi/src/ddsi_config.c:1701:9,26,19,13,92.3,46.2,61.5,94.7,69.2,80.0
src/lib/istream.c:352:9,2,79,23,8.7,100.0,16.0,2.5,100.0,4.9
src/lib/mempool.h:145:9,3,60,6,50.0,100.0,66.7,5.0,100.0,9.5
src/lib/ioloop.c:982:4,1,59,4,25.0,100.0,40.0,1.7,100.0,3.3
src/lib/lib-event.c:891:3,1,57,4,25.0,100.0,40.0,1.8,100.0,3.4
src/lib/ioloop.c:737:2,1,173,49,2.0,100.0,4.0,0.6,100.0,1.1
src/lib/ostream-file.c:540:9,1,173,12,8.3,100.0,15.4,0.6,100.0,1.1
src/lib/ioloop.c:869:4,1,59,9,11.1,100.0,20.0,1.7,100.0,3.3
libfwupdplugin/fu-firmware.c:852:7,9,14,14,64.3,100.0,78.3,64.3,100.0,78.3
libfwupdplugin/fu-firmware.c:933:10,28,39,39,71.8,100.0,83.6,71.8,100.0,83.6
libfwupdplugin/fu-firmware.c:1281:31,25,33,33,75.8,100.0,86.2,75.8,100.0,86.2
libfwupdplugin/fu-firmware.c:914:8,2,2,2,100.0,100.0,100.0,100.0,100.0,100.0
libfwupdplugin/fu-srec-firmware.c:656:2,1,57,25,4.0,100.0,7.7,1.8,100.0,3.4
libfwupdplugin/fu-fdt-image.c:639:2,1,57,16,6.2,100.0,11.8,1.8,100.0,3.4
libfwupdplugin/fu-efi-load-option.c:260:2,1,57,31,3.2,100.0,6.2,1.8,100.0,3.4
libfwupdplugin/fu-ifd-firmware.c:487:2,1,57,20,5.0,100.0,9.5,1.8,100.0,3.4
libfwupdplugin/fu-firmware.c:830:8,3,14,14,21.4,100.0,35.3,21.4,100.0,35.3
libfwupdplugin/fu-coswid-firmware.c:817:2,1,57,17,5.9,100.0,11.1,1.8,100.0,3.4
libfwupdplugin/fu-firmware.c:1954:3,1,24,24,4.2,100.0,8.0,4.2,100.0,8.0
libfwupdplugin/fu-ihex-firmware.c:561:2,1,57,16,6.2,100.0,11.8,1.8,100.0,3.4
libfwupdplugin/fu-csv-entry.c:249:2,1,57,11,9.1,100.0,16.7,1.8,100.0,3.4
libfwupdplugin/fu-csv-firmware.c:207:2,1,57,24,4.2,100.0,8.0,1.8,100.0,3.4
src/lock.c:216:7,1,3,3,33.3,100.0,50.0,33.3,100.0,50.0
tools/datconv.c:523:10,1,4,2,50.0,100.0,66.7,25.0,100.0,40.0
src/H5Pint.c:783:9,3,96,18,11.1,66.7,19.0,3.1,100.0,6.1
src/H5T.c:4990:18,110,2,2,50.0,0.9,1.8,50.0,0.9,1.8
src/H5Centry.c:3275:21,1,81,1,100.0,100.0,100.0,1.2,100.0,2.4
src/core/error.c:282:9,5,22,22,18.2,80.0,29.6,18.2,80.0,29.6
src/lib/krb5/asn.1/asn1_encode.c:1261:16,1,2,2,50.0,100.0,66.7,50.0,100.0,66.7
src/lib/krb5/keytab/ktbase.c:198:19,1,3,3,33.3,100.0,50.0,33.3,100.0,50.0
src/lib/libdwarf/dwarf_tsearchhash.c:456:16,2,29,3,66.7,100.0,80.0,6.9,100.0,12.9
jcapimin.c:103:7,1,2,1,100.0,100.0,100.0,50.0,100.0,66.7
jdatadst-tj.c:161:7,1,2,1,100.0,100.0,100.0,50.0,100.0,66.7
jdapimin.c:96:5,1,2,1,100.0,100.0,100.0,50.0,100.0,66.7
jdatasrc-tj.c:177:7,1,2,1,100.0,100.0,100.0,50.0,100.0,66.7
jdinput.c:386:3,1,13,1,100.0,100.0,100.0,7.7,100.0,14.3
jdinput.c:387:3,2,50,2,100.0,100.0,100.0,4.0,100.0,7.7
jdinput.c:334:9,2,50,4,50.0,100.0,66.7,4.0,100.0,7.7
turbojpeg.c:77:3,1,13,3,33.3,100.0,50.0,7.7,100.0,14.3
turbojpeg.c:85:3,1,1,1,100.0,100.0,100.0,100.0,100.0,100.0
jcomapi.c:77:5,1,13,1,100.0,100.0,100.0,7.7,100.0,14.3
turbojpeg.c:92:3,1,7,6,16.7,100.0,28.6,14.3,100.0,25.0
jdmarker.c:1084:12,3,50,3,100.0,100.0,100.0,6.0,100.0,11.3
jcomapi.c:94:5,1,2,1,100.0,100.0,100.0,50.0,100.0,66.7
