src/packet.c:1518:14, target function declarator为宏展开，匹配失误
src/lxc/confile.c:3225:10, target为宏展开
src/md4c-html.c:76:5, target在scope外
src/core/ngx_conf_file.c:304:18, target在scope外
src/st.c:468:15, unsigned long和char*, void*类型的类型转换
pjlib/include/pj/pool_i.h:85:12, target在scope外
pjlib/include/pj/pool_i.h:102:9, target在scope外
pjlib/src/pj/os_core_unix.c:701:27, target在scope外
src/rtpp_module_if.c:454:21, target在scope外
plugins/sudoers/pwutil.c:307:12, target function declarator为宏，在address-taken时miss掉了
plugins/sudoers/pwutil.c:1030:12, target function declarator为宏，在address-taken时miss掉了
lib/util/fatal.c:335:2, target在scope外
lib/util/fatal.c:341:2, target在scope外
lib/util/fatal.c:190:2, target在scope外
lib/util/fatal.c:251:2, target在scope外
plugins/sudoers/pwutil.c:1088:14, target function declarator为宏，在address-taken时miss掉了
plugins/sudoers/strvec_join.c:60:6, target在scope外
lib/util/lbuf.c:455:2, target在scope外
plugins/sudoers/pwutil.c:891:12, target function declarator为宏，在address-taken时miss掉了
lib/util/digest.c:169:5, target function的address-taken site被宏替代
src/modules/entry.c:492:9, target在scope外
src/misc/messages.c:370:19, target在scope外
src/input/demux.c:111:15, target在scope外
include/vlc_es_out.h:182:5, target在scope外
src/input/demux.c:213:16, target在scope外
src/modules/modules.c:305:9, target在scope外
src/modules/modules.c:275:11, target在scope外
include/vlc_es_out.h:150:12, target在scope外
include/vlc_es_out.h:166:12, target在scope外
include/vlc_es_out.h:161:12, target在scope外
include/vlc_es_out.h:155:5, target在scope外
